timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-05-13 12:00:00,62737.98828125,63200.0,62399.3515625,63002.0,5842.904296875,2024-05-13 15:59:59.999,367092448.0,266281,2910.522216796875,182876368.0
2024-05-13 16:00:00,63002.0,63450.0,62566.359375,63172.69140625,5512.43017578125,2024-05-13 19:59:59.999,347266112.0,218034,2880.0546875,181447200.0
2024-05-13 20:00:00,63172.69921875,63193.58984375,62715.5703125,62940.078125,2047.908203125,2024-05-13 23:59:59.999,128888784.0,104685,913.45263671875,57482364.0
2024-05-14 00:00:00,62940.08984375,63118.359375,62403.21875,62488.4609375,4185.92626953125,2024-05-14 03:59:59.999,262350656.0,172452,2075.1435546875,130068400.0
2024-05-14 04:00:00,62488.4609375,62780.73046875,61404.33984375,62035.390625,6129.65966796875,2024-05-14 07:59:59.999,380450912.0,211904,2920.4208984375,181173088.0
2024-05-14 08:00:00,62035.390625,62045.80078125,61520.890625,61798.5703125,2978.3564453125,2024-05-14 11:59:59.999,184055376.0,122612,1275.53125,78813496.0
2024-05-14 12:00:00,61798.5703125,62300.0,61142.76953125,61787.609375,9371.490234375,2024-05-14 15:59:59.999,578417856.0,337048,4660.78125,287705856.0
2024-05-14 16:00:00,61787.6015625,61816.33984375,61159.33984375,61596.51953125,4672.60888671875,2024-05-14 19:59:59.999,286987392.0,189508,2059.607666015625,126516520.0
2024-05-14 20:00:00,61596.51171875,61789.98828125,61472.41015625,61577.48828125,1750.678955078125,2024-05-14 23:59:59.999,107909704.0,94415,824.3299560546875,50810704.0
2024-05-15 00:00:00,61577.48828125,62033.48046875,61319.46875,61949.98828125,2150.95751953125,2024-05-15 03:59:59.999,132755480.0,100676,997.18701171875,61552112.0
2024-05-15 04:00:00,61949.98828125,62280.01171875,61818.1796875,62195.0390625,2500.529296875,2024-05-15 07:59:59.999,154981216.0,122714,1045.8836669921875,64830644.0
2024-05-15 08:00:00,62195.0390625,62999.44140625,61923.19921875,62467.1796875,5841.97314453125,2024-05-15 11:59:59.999,365113696.0,270593,2836.08447265625,177258400.0
2024-05-15 12:00:00,62467.1796875,65057.26171875,62402.03125,64725.109375,18482.646484375,2024-05-15 15:59:59.999,1184823424.0,667484,9771.7314453125,626366336.0
2024-05-15 16:00:00,64725.12109375,66419.1484375,64720.0,66006.2265625,9790.7373046875,2024-05-15 19:59:59.999,640052800.0,393307,4819.32763671875,315056928.0
2024-05-15 20:00:00,66006.2265625,66444.15625,65738.0,66206.5,4792.90283203125,2024-05-15 23:59:59.999,316533056.0,174680,2327.626953125,153717264.0
2024-05-16 00:00:00,66206.5078125,66666.0,65746.421875,65975.390625,4545.03759765625,2024-05-16 03:59:59.999,300504544.0,168965,2213.28955078125,146365488.0
2024-05-16 04:00:00,65975.390625,66278.0390625,65652.921875,66142.6171875,3539.906494140625,2024-05-16 07:59:59.999,233514032.0,152260,1818.3917236328125,119946104.0
2024-05-16 08:00:00,66142.6171875,66585.703125,66000.0,66503.796875,3707.8271484375,2024-05-16 11:59:59.999,245615936.0,182257,1827.43310546875,121065568.0
